"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","793","Launch Google with new browser instance","chromium","Wed Jan 08 17:32:39 UTC 2025","passed","Wed Jan 08 17:32:40 UTC 2025","","githubIntegration.spec.js","",""
"","961","Get user details","","Wed Jan 08 17:32:37 UTC 2025","passed","Wed Jan 08 17:32:38 UTC 2025","","","",""
"","512","User visits Playwright homepage","","Wed Jan 08 17:32:35 UTC 2025","passed","Wed Jan 08 17:32:36 UTC 2025","","","",""
"","1086","Verify Product Web Testing","","Wed Jan 08 17:32:36 UTC 2025","passed","Wed Jan 08 17:32:37 UTC 2025","","","",""
