"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1072","Verify Product Web Testing","","Wed Jan 08 17:24:47 UTC 2025","passed","Wed Jan 08 17:24:48 UTC 2025","","","",""
"","337","User visits Playwright homepage","","Wed Jan 08 17:24:46 UTC 2025","passed","Wed Jan 08 17:24:47 UTC 2025","","","",""
"","280","Get user details","","Wed Jan 08 17:24:48 UTC 2025","passed","Wed Jan 08 17:24:48 UTC 2025","","","",""
